Data,IP a Vista - Ponderado,IP a Prazo - Ponderado
02/05/2026,"96,80%","104,20%"
03/05/2026,"96,90%","103,90%"
04/05/2026,"99,60%","105,90%"
05/05/2026,"99,10%","99,10%"
06/05/2026,"99,20%","99,20%"
07/05/2026,"99,80%","99,80%"
08/05/2026,"98,10%","98,10%"
09/05/2026,"98,40%","98,40%"
10/05/2026,"98,00%","98,00%"
11/05/2026,"102,10%","102,10%"
12/05/2026,"100,20%","100,20%"
13/05/2026,"99,00%","99,00%"
14/05/2026,"100,40%","100,40%"
15/05/2026,"99,90%","99,90%"
16/05/2026,"99,50%","99,50%"
17/05/2026,"99,80%","99,80%"
18/05/2026,"100,30%","100,30%"
19/05/2026,"100,00%",Não rotulado
20/05/2026,"100,00%","101,30%"
21/05/2026,"100,10%","101,30%"
22/05/2026,"100,30%","101,10%"
23/05/2026,"100,40%",Não rotulado
24/05/2026,"100,20%",Não rotulado
25/05/2026,"99,60%","100,90%"
26/05/2026,"103,60%","104,40%"
27/05/2026,"104,00%",Não rotulado
28/05/2026,"103,30%","103,30%"
29/05/2026,"102,60%","102,60%"
30/05/2026,"103,00%","103,00%"
31/05/2026,"102,60%","102,60%"
01/06/2026,"104,00%","104,70%"
02/06/2026,"102,30%","101,70%"
03/06/2026,"100,90%","101,90%"
04/06/2026,"101,20%","101,90%"
05/06/2026,"100,60%",Não rotulado
06/06/2026,"99,90%","100,80%"
07/06/2026,"99,90%",Não rotulado
08/06/2026,"101,20%","101,20%"
09/06/2026,"100,80%","101,70%"
10/06/2026,"100,90%","101,50%"
11/06/2026,"101,30%","102,30%"
12/06/2026,"101,50%",Não rotulado
13/06/2026,"100,90%","101,80%"
14/06/2026,"101,70%","101,70%"
15/06/2026,"104,80%","104,80%"
16/06/2026,"104,50%","105,70%"
17/06/2026,"100,80%","100,80%"
18/06/2026,"101,50%",Não rotulado
19/06/2026,"100,60%",Não rotulado
20/06/2026,"101,70%","101,70%"
21/06/2026,"101,10%",Não rotulado
22/06/2026,"100,00%","102,00%"
23/06/2026,"101,40%","102,10%"
24/06/2026,"101,60%",Não rotulado
25/06/2026,"100,80%","101,40%"
26/06/2026,"101,80%","102,90%"
27/06/2026,"101,30%","101,30%"
28/06/2026,"101,80%","101,80%"
29/06/2026,"101,10%","101,50%"
30/06/2026,"101,50%",Não rotulado